Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
1998,KS,Kansas,Demographics,Age,What is your age?,25-34 years,"$25,000-$34,999",Household Income,146,26.7,22.6,30.8,724,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,20,INCOME3,CAT6,AGE,RESP011,"(38.3477403, -98.200781227)"
2004,CA,California,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,College graduate,Education Attained,75,10.2,7.5,12.9,2017,%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,6,EDUCA4,CAT5,_RFPAP32,RESP054,"(37.638640123, -120.999999538)"
2005,OR,Oregon,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"Black, non-Hispanic",Race/Ethnicity,68,,,,181,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,41,RACE2,CAT4,HLTHPLAN,RESP046,"(44.567449424, -120.155031326)"
2003,OK,Oklahoma,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,H.S. or G.E.D.,Education Attained,494,23.0,20.9,25.1,195,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,40,EDUCA2,CAT5,HLTHPLAN,RESP054,"(35.472031356, -97.521070214)"
2000,CO,Colorado,Demographics,Sex,Gender of respondent,Female,65+,Age Group,297,58.0,51.0,65.0,1403,%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,8,AGE09,CAT3,SEX,RESP002,"(38.843840757, -106.133610921)"
2006,VT,Vermont,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),,"$25,000-$34,999",Household Income,625,67.6,63.4,71.8,1176,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,50,INCOME3,CAT6,_CHLDCNT,RESP095,"(43.625381239, -72.517640791)"
2009,HI,Hawaii,Physical Activity,Physical Activity,Adults with 20+ minutes of vigorous physical activity three or more days per week (variable calculated from one or more BRFSS questions),No,25-34,Age Group,308,51.2,46.0,56.5,2353,%,Crude Prevalence,,,BRFSS,CLASS15,Topic44,15,AGE02,CAT3,_RFPAVIG,RESP054,"(21.304850435, -157.857749403)"
2006,WY,Wyoming,Demographics,Marital Status,What is your marital status?,Married,Male,Gender,1309,66.7,64.0,69.4,953,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,56,SEX1,CAT2,MARITAL,RESP033,"(43.235541343, -108.109830353)"
2010,AR,Arkansas,Demographics,Employment,What is your employment status?,Emplyd,45-54,Age Group,373,55.9,51.4,60.4,1546,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,5,AGE04,CAT3,EMPLOY,RESP025,"(34.748650124, -92.274490743)"
2003,PR,Puerto Rico,Demographics,Marital Status,What is your marital status?,Separated,25-34,Age Group,25,3.7,1.7,5.7,1193,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,72,AGE02,CAT3,MARITAL,RESP036,"(18.220833, -66.590149)"
1995,IL,Illinois,Demographics,Employment,What is your employment status?,No work >yr,Some post-H.S.,Education Attained,9,1.0,0.3,1.7,1421,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,17,EDUCA3,CAT5,EMPLOY,RESP028,"(40.485010283, -88.997710178)"
1996,WV,West Virginia,Physical Activity,Physical Activity,Adults with 30+ minutes of any physical activity five or more days per week (variable calculated from one or more BRFSS questions),No,35-44,Age Group,446,87.8,84.9,90.7,357,%,Crude Prevalence,,,BRFSS,CLASS15,Topic44,54,AGE03,CAT3,_RFREGUL,RESP054,"(38.665510202, -80.712640135)"
2006,ND,North Dakota,Demographics,Age,What is your age?,25-34 years,"Other, non-Hispanic",Race/Ethnicity,35,22.5,14.2,30.8,863,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,38,RACE4,CAT4,AGE,RESP011,"(47.475319779, -100.118421049)"
2005,PA,Pennsylvania,Demographics,Age,What is your age?,25-34 years,"$25,000-$34,999",Household Income,261,18.1,14.6,21.6,1218,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,42,INCOME3,CAT6,AGE,RESP011,"(40.793730152, -77.860700294)"
2003,WI,Wisconsin,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,328,7.5,6.5,8.5,659,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,55,BO1,CAT1,_CASTHMA,RESP046,"(44.393191174, -89.816370742)"
2010,AR,Arkansas,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,75+,Age Group,516,73.0,69.0,77.0,2053,%,Crude Prevalence,,,BRFSS,CLASS11,Topic26,5,AGE11,CAT3,_FLSHOT4,RESP046,"(34.748650124, -92.274490743)"
2005,NH,New Hampshire,Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),Yes,"White, non-Hispanic",Race/Ethnicity,1554,23.4,22.2,24.6,399,%,Crude Prevalence,,,BRFSS,CLASS10,Topic31,33,RACE1,CAT4,_RFHYPE5,RESP046,"(43.655950113, -71.50036092)"
2004,KS,Kansas,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"$25,000-$34,999",Household Income,280,22.4,19.7,25.1,1857,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,20,INCOME3,CAT6,_BMI4CAT,RESP039,"(38.3477403, -98.200781227)"
2006,VI,Virgin Islands,Demographics,Employment,What is your employment status?,Retired,H.S. or G.E.D.,Education Attained,143,10.4,8.5,12.3,1438,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,78,EDUCA2,CAT5,EMPLOY,RESP031,"(18.335765, -64.896335)"
2005,IN,Indiana,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,Overall,Overall,4479,82.8,81.7,83.9,1982,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,18,BO1,CAT1,QLACTLM2,RESP054,"(39.766910452, -86.149960194)"
2007,CT,Connecticut,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",H.S. or G.E.D.,Education Attained,25,1.3,0.7,1.9,356,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,9,EDUCA2,CAT5,DIABETE2,RESP051,"(41.56266102, -72.649840952)"
2004,DC,District of Columbia,Alcohol Consumption,Binge Drinking,Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,66,13.0,9.4,16.6,580,%,Crude Prevalence,,,BRFSS,CLASS01,Topic07,11,AGE04,CAT3,_RFBING2,RESP046,"(38.890371385, -77.031961127)"
1995,CA,California,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"$15,000-$24,999",Household Income,105,19.7,15.4,24.0,1606,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,6,INCOME2,CAT6,_BMI2CAT,RESP039,"(37.638640123, -120.999999538)"
2010,MT,Montana,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,Female,Gender,394,14.2,12.1,16.2,1314,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,30,SEX2,CAT2,_CHLDCNT,RESP094,"(47.066528972, -109.424420645)"
2008,KS,Kansas,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,65-74,Age Group,1078,83.3,81.1,85.5,442,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,20,AGE10,CAT3,_ALTETH2,RESP054,"(38.3477403, -98.200781227)"
2002,DC,District of Columbia,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Male,Gender,725,67.2,62.8,71.6,839,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,11,SEX1,CAT2,DRNKANY3,RESP046,"(38.890371385, -77.031961127)"
2008,AL,Alabama,Demographics,Age,What is your age?,65+ years,College graduate,Education Attained,377,14.0,12.2,15.9,1145,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,1,EDUCA4,CAT5,AGE,RESP015,"(32.840571122, -86.631860762)"
2006,MS,Mississippi,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,H.S. or G.E.D.,Education Attained,136,4.7,3.8,5.6,2177,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,28,EDUCA2,CAT5,CVDINFR3,RESP046,"(32.745510099, -89.538030825)"
2005,DC,District of Columbia,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",18-24,Age Group,36,16.9,10.0,23.8,1791,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,11,AGE01,CAT3,INCOME,RESP018,"(38.890371385, -77.031961127)"
2003,DE,Delaware,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Male,Gender,158,8.5,6.8,10.2,301,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,10,SEX1,CAT2,DIABETES,RESP046,"(39.008830667, -75.577741168)"
2002,NC,North Carolina,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,65+,Age Group,1181,85.2,82.4,88.0,603,%,Crude Prevalence,,,BRFSS,CLASS13,Topic57,37,AGE09,CAT3,_EXTEETH,RESP054,"(35.466220975, -79.159250463)"
2009,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"$50,000+",Household Income,1096,92.5,90.3,94.6,201,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,INCOME5,CAT6,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2002,VI,Virgin Islands,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,"White, non-Hispanic",Race/Ethnicity,361,94.6,91.8,97.4,469,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,78,RACE1,CAT4,DIABETES,RESP054,"(18.335765, -64.896335)"
2000,PR,Puerto Rico,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,55-64,Age Group,59,11.3,7.9,14.7,907,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,72,AGE05,CAT3,_CHLDCNT,RESP094,"(18.220833, -66.590149)"
1999,WV,West Virginia,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),55-64,Age Group,135,39.3,33.7,44.9,1583,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,54,AGE05,CAT3,_BMI2CAT,RESP040,"(38.665510202, -80.712640135)"
2010,MN,Minnesota,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,Yes,Female,Gender,528,6.2,5.3,7.0,793,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,27,SEX2,CAT2,USEEQUIP,RESP046,"(46.355648736, -94.794200503)"
2007,HI,Hawaii,Demographics,Age,What is your age?,65+ years,Hispanic,Race/Ethnicity,51,7.8,4.5,11.1,965,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,15,RACE3,CAT4,AGE,RESP015,"(21.304850435, -157.857749403)"
2008,AZ,Arizona,Health Status,Overall Health,How is your general health?,Poor,Overall,Overall,380,4.2,3.3,5.1,5,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,4,BO1,CAT1,GENHLTH,RESP060,"(34.86597028, -111.763811277)"
1997,OH,Ohio,Demographics,Education,What is the highest grade or year of school you completed?,College+,25-34,Age Group,177,28.4,23.5,33.3,1216,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,39,AGE02,CAT3,EDUCA,RESP024,"(40.060210141, -82.404260056)"
2009,MA,Massachusetts,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,Hispanic,Race/Ethnicity,941,83.3,80.0,86.6,2242,%,Crude Prevalence,,,BRFSS,CLASS03,Topic05,25,RACE3,CAT4,_DRDXART,RESP054,"(42.27687047, -72.082690675)"
1995,WV,West Virginia,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"$50,000+",Household Income,257,96.2,93.1,99.3,235,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,54,INCOME5,CAT6,_HCVU65,RESP046,"(38.665510202, -80.712640135)"
1999,OH,Ohio,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,Less than H.S.,Education Attained,6,3.0,0.5,5.5,1138,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,39,EDUCA1,CAT5,_CHLDCNT,RESP092,"(40.060210141, -82.404260056)"
2001,ID,Idaho,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,18-24,Age Group,345,69.7,64.2,75.2,168,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,16,AGE01,CAT3,HLTHPLAN,RESP046,"(43.682630005, -114.363730042)"
2000,MT,Montana,Demographics,Employment,What is your employment status?,Unable to work,18-24,Age Group,3,0.9,0.0,2.2,1178,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,30,AGE01,CAT3,EMPLOY,RESP032,"(47.066528972, -109.424420645)"
2001,IL,Illinois,Demographics,Race,What is your race/ethnicity?,Other,"$25,000-$34,999",Household Income,18,4.6,2.1,7.1,1195,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,17,INCOME3,CAT6,RACE,RESP009,"(40.485010283, -88.997710178)"
2005,CT,Connecticut,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Neither overweight nor obese (BMI le 24.9),65+,Age Group,508,41.2,37.9,44.5,1922,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,9,AGE09,CAT3,_BMI4CAT,RESP045,"(41.56266102, -72.649840952)"
2010,AR,Arkansas,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Hispanic,Race/Ethnicity,2,0.7,0.0,1.8,2021,%,Crude Prevalence,,,BRFSS,CLASS01,Topic30,5,RACE3,CAT4,_RFDRHV3,RESP046,"(34.748650124, -92.274490743)"
1999,CO,Colorado,Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),No,"$15,000-$24,999",Household Income,402,73.7,68.3,79.1,281,%,Crude Prevalence,,,BRFSS,CLASS10,Topic31,8,INCOME2,CAT6,_RFHYPE2,RESP054,"(38.843840757, -106.133610921)"
2000,MD,Maryland,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,Female,Gender,29,1.2,0.6,1.8,938,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,24,SEX2,CAT2,_CHLDCNT,RESP090,"(39.290580964, -76.609260111)"
1996,CA,California,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,"$35,000-$49,999",Household Income,608,96.2,94.6,97.8,289,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,6,INCOME4,CAT6,DIABETES,RESP054,"(37.638640123, -120.999999538)"
2008,NE,Nebraska,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"$15,000-$24,999",Household Income,2248,86.4,83.1,89.6,698,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,31,INCOME2,CAT6,_LTASTHM,RESP054,"(41.641040988001, -99.365720623)"
2008,MD,Maryland,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,"Multiracial, non-Hispanic",Race/Ethnicity,101,88.7,82.9,94.5,346,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,24,RACE5,CAT4,DIABETE2,RESP054,"(39.290580964, -76.609260111)"
2008,PR,Puerto Rico,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,"$50,000+",Household Income,14,3.4,1.4,5.5,680,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,72,INCOME5,CAT6,_CASTHMA,RESP046,"(18.220833, -66.590149)"
2001,VA,Virginia,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,No,55-64,Age Group,360,94.9,92.5,97.3,1987,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,51,AGE05,CAT3,USEEQUIP,RESP054,"(37.542680674, -78.457890463)"
2001,MS,Mississippi,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"Less than $15,000",Household Income,96,18.7,14.7,22.7,912,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,28,INCOME1,CAT6,_SMOKER2,RESP070,"(32.745510099, -89.538030825)"
2003,NH,New Hampshire,Physical Activity,Physical Activity,"Adults with 30+ minutes of moderate physical activity five or more days per week, or vigorous physical activity for 20+ minutes three or more days per week",Yes,"Less than $15,000",Household Income,121,40.7,34.2,47.2,2175,%,Crude Prevalence,,,BRFSS,CLASS15,Topic44,33,INCOME1,CAT6,_RFPAMOD,RESP046,"(43.655950113, -71.50036092)"
2002,VA,Virginia,Demographics,Race,What is your race/ethnicity?,MultiRacial,H.S. or G.E.D.,Education Attained,34,3.4,1.7,5.1,1052,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,51,EDUCA2,CAT5,RACE,RESP008,"(37.542680674, -78.457890463)"
2010,SC,South Carolina,Health Status,Overall Health,How is your general health?,Fair,Hispanic,Race/Ethnicity,25,,,,63,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS08,Topic41,45,RACE3,CAT4,GENHLTH,RESP059,"(33.998821303, -81.045371207)"
2003,MA,Massachusetts,Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),No,"$35,000-$49,999",Household Income,808,77.6,74.3,80.9,409,%,Crude Prevalence,,,BRFSS,CLASS10,Topic31,25,INCOME4,CAT6,_RFHYPE4,RESP054,"(42.27687047, -72.082690675)"
2001,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,Female,Gender,304,17.2,15.2,19.2,1530,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,1,SEX2,CAT2,EDUCA,RESP021,"(32.840571122, -86.631860762)"
2001,PA,Pennsylvania,Health Status,Overall Health,How is your general health?,Excellent,"$35,000-$49,999",Household Income,126,19.9,16.4,23.4,94,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,42,INCOME4,CAT6,GENHLTH,RESP056,"(40.793730152, -77.860700294)"
2000,MS,Mississippi,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Hispanic,Race/Ethnicity,15,,,,499,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS17,Topic15,28,RACE3,CAT4,_RFSMOK2,RESP046,"(32.745510099, -89.538030825)"
1999,IA,Iowa,Demographics,Employment,What is your employment status?,Unable to work,65+,Age Group,14,1.9,0.8,3.0,1339,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,19,AGE09,CAT3,EMPLOY,RESP032,"(42.469400913, -93.816490556)"
2001,NM,New Mexico,Demographics,Sex,Gender of respondent,Male,"Other, non-Hispanic",Race/Ethnicity,110,54.1,45.9,62.3,1910,%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,35,RACE4,CAT4,SEX,RESP001,"(34.520880952, -106.240580985)"
2007,SD,South Dakota,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"$50,000+",Household Income,1998,95.7,94.7,96.7,683,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,46,INCOME5,CAT6,_CASTHMA,RESP054,"(44.353130053, -100.373530637)"
2001,MO,Missouri,Demographics,Marital Status,What is your marital status?,Never married,"Other, non-Hispanic",Race/Ethnicity,15,18.5,8.5,28.5,1340,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,29,RACE4,CAT4,MARITAL,RESP037,"(38.635790776, -92.566300053)"
2003,GU,Guam,Demographics,Employment,What is your employment status?,No work< yr,65+,Age Group,2,3.9,0.0,9.3,1628,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,66,AGE09,CAT3,EMPLOY,RESP027,"(13.444304, 144.793731)"
2005,NY,New York,Physical Activity,Physical Activity,Adults with 20+ minutes of vigorous physical activity three or more days per week (variable calculated from one or more BRFSS questions),Yes,25-34,Age Group,320,32.7,29.2,36.2,2229,%,Crude Prevalence,,,BRFSS,CLASS15,Topic44,36,AGE02,CAT3,_RFPAVIG,RESP046,"(42.827001032, -75.543970427)"
2001,WY,Wyoming,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,"$35,000-$49,999",Household Income,12,2.4,1.0,3.8,1510,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,56,INCOME4,CAT6,_CHLDCNT,RESP091,"(43.235541343, -108.109830353)"
1995,DE,Delaware,Demographics,Income,What is your annual household income?,"Less than $15,000",25-34,Age Group,27,6.2,3.6,8.8,1478,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,10,AGE02,CAT3,INCOME,RESP016,"(39.008830667, -75.577741168)"
2008,AR,Arkansas,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,50-59,Age Group,517,44.5,41.0,48.1,2341,%,Crude Prevalence,,,BRFSS,CLASS04,Topic52,5,AGE07,CAT3,_RFSIGM2,RESP046,"(34.748650124, -92.274490743)"
2000,FL,Florida,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,45-54,Age Group,162,17.8,14.9,20.7,949,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,12,AGE04,CAT3,_CHLDCNT,RESP094,"(28.932040377, -81.928960539)"
2005,NH,New Hampshire,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,No,"$35,000-$49,999",Household Income,807,96.0,94.6,97.4,2286,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,33,INCOME4,CAT6,CVDINFR3,RESP054,"(43.655950113, -71.50036092)"
1999,KS,Kansas,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Some post-H.S.,Education Attained,997,88.9,86.8,91.0,139,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,20,EDUCA3,CAT5,_RFHLTH,RESP061,"(38.3477403, -98.200781227)"
2004,VT,Vermont,Demographics,Marital Status,What is your marital status?,Divorced,"Black, non-Hispanic",Race/Ethnicity,4,,,,1217,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic38,50,RACE2,CAT4,MARITAL,RESP034,"(43.625381239, -72.517640791)"
2002,CO,Colorado,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Some post-H.S.,Education Attained,924,84.7,82.2,87.2,192,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,8,EDUCA3,CAT5,HLTHPLAN,RESP046,"(38.843840757, -106.133610921)"
2006,MS,Mississippi,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,Hispanic,Race/Ethnicity,59,,,,272,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS15,Topic23,28,RACE3,CAT4,_TOTINDA,RESP046,"(32.745510099, -89.538030825)"
2002,NE,Nebraska,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"Multiracial, non-Hispanic",Race/Ethnicity,7,,,,801,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS17,Topic55,31,RACE5,CAT4,_SMOKER2,RESP070,"(41.641040988001, -99.365720623)"
2006,PR,Puerto Rico,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,"$15,000-$24,999",Household Income,137,10.2,8.2,12.2,346,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,72,INCOME2,CAT6,DIABETE2,RESP046,"(18.220833, -66.590149)"
2001,PA,Pennsylvania,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,159,84.6,78.8,90.4,225,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,42,RACE2,CAT4,_HCVU65,RESP046,"(40.793730152, -77.860700294)"
2001,CT,Connecticut,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"$35,000-$49,999",Household Income,789,73.0,69.6,76.4,874,%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,9,INCOME4,CAT6,_RFSMOK2,RESP054,"(41.56266102, -72.649840952)"
2001,WA,Washington,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Hispanic,Race/Ethnicity,15,10.7,4.8,16.6,141,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,53,RACE3,CAT4,_RFHLTH,RESP062,"(47.522278629, -120.47001079)"
1996,ND,North Dakota,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"$35,000-$49,999",Household Income,51,86.2,76.4,96.0,1455,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,38,INCOME4,CAT6,_MAM502Y,RESP046,"(47.475319779, -100.118421049)"
1997,AL,Alabama,Demographics,Employment,What is your employment status?,Self emplyd,H.S. or G.E.D.,Education Attained,36,5.6,3.6,7.6,1375,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,1,EDUCA2,CAT5,EMPLOY,RESP026,"(32.840571122, -86.631860762)"
2010,ID,Idaho,Demographics,Employment,What is your employment status?,Student,Overall,Overall,128,5.1,4.0,6.2,1519,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,16,BO1,CAT1,EMPLOY,RESP030,"(43.682630005, -114.363730042)"
2010,FL,Florida,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,"Less than $15,000",Household Income,60,1.7,0.9,2.4,1448,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,12,INCOME1,CAT6,_CHLDCNT,RESP091,"(28.932040377, -81.928960539)"
